Desempleo,Mujer,EdadJun24,roa,tep_descripcion_clean,SinEduc,Primaria,Secundaria,Superior,apo_salario,Antiguedad,Nivel_Educacion,Genero
0,0,58,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,1212.0,108,Superior,Hombre
1,0,54,0.22322157,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,465.0,2,Primaria,Hombre
1,0,32,7.0481067,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,20,Primaria,Hombre
0,1,38,1.1593274,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,500.0,95,Superior,Mujer
0,0,22,28.602795,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,474.0,12,Secundaria,Hombre
0,0,31,11.719177,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,510.0,16,Secundaria,Hombre
0,0,19,22.03202,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,9,Secundaria,Hombre
0,0,48,4.6736226,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,465.0,6,Primaria,Hombre
0,0,24,-5.5454855,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,465.0,6,Secundaria,Hombre
0,0,30,5.619034,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,1012.0,13,Superior,Hombre
0,1,51,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,986.0,122,Superior,Mujer
0,0,52,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,500.0,67,Primaria,Hombre
0,0,56,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,460.0,71,Secundaria,Hombre
0,1,30,1.5833268,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,468.0,15,Secundaria,Mujer
1,0,24,-0.054487206,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,9,Secundaria,Hombre
1,0,37,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,900.0,106,Primaria,Hombre
0,1,22,0.0,EMPLEADOR DOMESTICO,0,1,0,0,460.0,28,Primaria,Mujer
1,0,39,3.7652354,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,692.0,123,Primaria,Hombre
0,0,45,14.517335,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,465.0,178,Secundaria,Hombre
0,0,33,3.9583364,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,1500.0,57,Secundaria,Hombre
0,0,26,-5.994581,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,1000.0,21,Secundaria,Hombre
1,0,22,2.5653272,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,468.0,9,Secundaria,Hombre
0,1,40,3.8979306,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,3840.0,231,Superior,Mujer
0,0,40,6.302921,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,465.0,1,Secundaria,Hombre
1,0,33,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,1,0,2600.0,11,Secundaria,Hombre
0,0,49,0.0,ENTIDADES PUBLICAS CON AUTONOMIA,0,0,1,0,528.0,100,Secundaria,Hombre
1,0,25,-15.567173,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,478.0,2,Primaria,Hombre
0,0,29,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,817.0,15,Superior,Hombre
1,1,48,0.9257551,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,1150.0,13,Secundaria,Mujer
0,0,31,8.078958,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,478.0,90,Primaria,Hombre
0,1,31,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,0,1,733.0,1,Superior,Mujer
0,0,32,0.0,MIEMBROS DE   SINDICATOS  Y COOP DE TRANSPORTE TERRESTRE,0,0,1,0,707.0,14,Secundaria,Hombre
1,1,31,0.7836222,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,460.0,20,Superior,Mujer
1,0,33,1.7540454,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,7,Secundaria,Hombre
0,1,41,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,1,0,0,511.0,149,Primaria,Mujer
1,0,41,2.9673245,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,461.0,1,Primaria,Hombre
1,0,19,4.400341,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,468.0,4,Secundaria,Hombre
1,0,26,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,1,0,0,986.0,5,Primaria,Hombre
1,0,41,0.0,EMPLEADOR DOMESTICO,0,0,1,0,460.0,52,Secundaria,Hombre
0,1,48,0.0,EMPLEADOR DOMESTICO,0,0,1,0,460.0,87,Secundaria,Mujer
1,0,49,0.10339811,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,165,Primaria,Hombre
1,0,35,4.2668505,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,1300.0,16,Superior,Hombre
0,1,42,0.0,ENTIDADES FINANCIERAS,0,0,0,1,1212.0,95,Superior,Mujer
0,0,50,3.833391,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,713.0,239,Secundaria,Hombre
0,0,38,6.1057553,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,1674.0,163,Superior,Hombre
1,0,41,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,1,0,0,0,460.0,23,Sin Educación,Hombre
1,0,46,7.442317,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,715.0,30,Primaria,Hombre
1,0,63,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,1676.0,120,Superior,Hombre
1,0,25,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,1,Secundaria,Hombre
1,0,23,1.1047499,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,465.0,0,Secundaria,Hombre
1,0,29,3.6222162,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,7,Primaria,Hombre
1,1,38,-2.4763546,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,468.0,20,Primaria,Mujer
0,1,24,8.373653,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,471.0,15,Secundaria,Mujer
1,0,40,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,28,Secundaria,Hombre
0,1,25,-2.674948,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,471.0,1,Secundaria,Mujer
1,0,22,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,1,0,561.0,2,Secundaria,Hombre
0,0,21,16.996403,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,0,Secundaria,Hombre
0,0,38,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,460.0,73,Superior,Hombre
0,0,47,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,1,0,0,537.0,149,Primaria,Hombre
1,1,46,0.41936228,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,461.0,30,Secundaria,Mujer
0,0,53,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,1,0,918.0,123,Secundaria,Hombre
1,1,55,0.0,EMPLEADOR DOMESTICO,0,1,0,0,460.0,157,Primaria,Mujer
1,1,45,0.0,EMPLEADOR DOMESTICO,0,0,1,0,460.0,87,Secundaria,Mujer
1,0,32,5.6497083,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,501.0,3,Superior,Hombre
0,1,41,0.0,MICRO EMPRESA (NO ARTESANAL),0,0,0,1,600.0,60,Superior,Mujer
1,0,65,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,247,Primaria,Hombre
1,0,22,5.7175198,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,468.0,0,Primaria,Hombre
0,0,38,4.9860516,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,521.0,155,Secundaria,Hombre
1,0,29,4.669274,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,500.0,19,Secundaria,Hombre
1,1,35,1.1515781,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,460.0,44,Superior,Mujer
0,1,30,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,1,0,540.0,1,Secundaria,Mujer
0,1,44,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,0,1,817.0,103,Superior,Mujer
0,1,46,3.0070548,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,465.0,71,Primaria,Mujer
0,1,42,0.5522988,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,468.0,29,Primaria,Mujer
0,0,33,1.5833268,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,600.0,39,Secundaria,Hombre
0,0,74,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,65,Primaria,Hombre
0,1,36,14.517335,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,1059.0,15,Secundaria,Mujer
1,0,31,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,465.0,21,Secundaria,Hombre
1,1,39,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,632.0,22,Superior,Mujer
1,0,46,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,460.0,1,Secundaria,Hombre
1,0,25,1.0173953,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,3,Secundaria,Hombre
1,1,30,-18.924696,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,2,Primaria,Mujer
1,0,61,9.509741,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,465.0,16,Primaria,Hombre
0,0,48,-2.6498854,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,480.0,3,Primaria,Hombre
1,0,43,2.3497365,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,656.0,120,Secundaria,Hombre
0,1,61,-2.7622461,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,2500.0,145,Superior,Mujer
0,0,34,0.0,COOP AHORRO  CRED. VIVIENDA ETC.CONTR SUPER  DE BANCOS,0,0,1,0,600.0,62,Secundaria,Hombre
0,0,37,13.162507,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,1850.0,154,Superior,Hombre
1,1,60,0.48710227,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,468.0,5,Primaria,Mujer
1,0,32,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,0,1,460.0,61,Superior,Hombre
1,0,51,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,460.0,156,Superior,Hombre
0,0,27,0.0,"INSTITUCION FINANCIERA PRIVADA, BANCOS Y CIA DE SEGUROS",0,0,0,1,2114.0,71,Superior,Hombre
0,0,22,4.7230053,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,473.0,24,Secundaria,Hombre
0,1,39,-0.31884503,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,1104.0,53,Primaria,Mujer
0,1,39,7.397831,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,472.0,143,Secundaria,Mujer
1,0,22,11.119028,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,465.0,1,Secundaria,Hombre
1,1,23,-18.924696,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,468.0,19,Superior,Mujer
1,0,33,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,2545.0,1,Superior,Hombre
0,0,52,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,986.0,123,Superior,Hombre
0,0,51,1.3378813,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,2300.0,160,Superior,Hombre
0,1,48,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,986.0,130,Superior,Mujer
0,0,20,2.5653272,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,468.0,5,Secundaria,Hombre
0,0,39,1.6330653,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,461.0,5,Primaria,Hombre
1,0,32,0.2638172,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,472.0,4,Secundaria,Hombre
0,0,30,2.9534824,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,42,Primaria,Hombre
0,0,50,10.716883,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,854.0,62,Superior,Hombre
0,0,57,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,817.0,116,Superior,Hombre
0,0,26,5.4873505,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,468.0,12,Secundaria,Hombre
1,0,41,0.6749041,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,485.0,122,Secundaria,Hombre
0,0,45,4.3297443,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,460.0,20,Superior,Hombre
0,0,24,1.5833268,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,468.0,4,Primaria,Hombre
0,1,24,0.04958747,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,1176.0,5,Secundaria,Mujer
1,1,24,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,465.0,5,Secundaria,Mujer
0,0,36,0.0,ENTIDADES PÚBLICAS DE EDUCACIÓN SUPERIOR,0,0,0,1,2034.0,29,Superior,Hombre
0,0,48,0.0,CONSTRUCCION,0,0,1,0,460.0,59,Secundaria,Hombre
1,0,25,3.423244,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,468.0,15,Primaria,Hombre
0,0,50,-0.9357855,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,113,Secundaria,Hombre
0,0,56,-1.4303985,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,464.0,20,Secundaria,Hombre
0,0,26,0.30281073,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,487.0,68,Secundaria,Hombre
0,1,29,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,468.0,47,Secundaria,Mujer
0,0,41,12.281746,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,600.0,149,Secundaria,Hombre
0,1,31,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,817.0,48,Superior,Mujer
1,0,26,-0.24341466,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,500.0,3,Primaria,Hombre
0,0,50,-0.22094783,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,2249.0,71,Secundaria,Hombre
0,1,35,6.4434705,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,465.0,66,Superior,Mujer
1,0,67,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,3854.0,19,Superior,Hombre
0,1,37,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,700.0,41,Secundaria,Mujer
1,0,20,0.9814888,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,471.0,1,Secundaria,Hombre
1,0,23,1.674901,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,471.0,0,Secundaria,Hombre
1,0,20,4.3669915,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,465.0,0,Primaria,Hombre
1,0,21,25.446201,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,230.0,1,Primaria,Hombre
1,1,33,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,1,0,460.0,1,Secundaria,Mujer
0,0,41,0.0,COOPERA  NO CONTROLADAS POR LA SUPERINTENDENCIA  DE BANCOS,0,0,0,1,1325.0,15,Superior,Hombre
0,0,41,1.4908018,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,465.0,71,Primaria,Hombre
1,0,57,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,1,0,1200.0,53,Secundaria,Hombre
1,1,26,0.0,ENTIDADES PUBLICAS CON AUTONOMIA,0,0,1,0,540.0,9,Secundaria,Mujer
1,0,32,4.9862576,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,707.0,33,Secundaria,Hombre
1,0,43,1.9847461,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,950.0,23,Secundaria,Hombre
0,1,34,0.0,EMPLEADOR DOMESTICO,0,0,1,0,460.0,96,Secundaria,Mujer
0,0,60,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,1,0,0,460.0,185,Primaria,Hombre
1,0,38,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,1,0,0,478.0,30,Primaria,Hombre
1,0,33,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,1,0,460.0,5,Secundaria,Hombre
1,1,21,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,8,Primaria,Mujer
1,1,21,5.3966136,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,5,Secundaria,Mujer
1,0,22,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,474.0,9,Secundaria,Hombre
1,0,27,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,1,0,0,476.0,2,Primaria,Hombre
1,0,30,5.413415,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,468.0,8,Secundaria,Hombre
1,0,23,3.563039,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,465.0,19,Secundaria,Hombre
1,0,20,3.7191427,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,471.0,10,Secundaria,Hombre
1,0,30,5.228767,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,461.0,39,Secundaria,Hombre
0,0,44,13.505787,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,824.0,90,Secundaria,Hombre
1,0,22,3.7191427,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,471.0,6,Secundaria,Hombre
1,0,24,-15.332543,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,465.0,7,Secundaria,Hombre
1,1,26,0.92796016,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,472.0,0,Secundaria,Mujer
0,0,35,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,1212.0,41,Superior,Hombre
0,0,37,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,151,Secundaria,Hombre
1,0,37,2.6770368,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,521.0,24,Secundaria,Hombre
1,0,59,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,450.0,10,Secundaria,Hombre
1,0,29,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,460.0,26,Secundaria,Hombre
0,0,29,7.1052885,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,1100.0,57,Superior,Hombre
0,0,28,7.907049,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,461.0,16,Primaria,Hombre
1,0,25,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,1,0,660.0,26,Secundaria,Hombre
0,0,30,5.4873505,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,466.0,10,Primaria,Hombre
0,0,22,-4.2559786,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,465.0,22,Secundaria,Hombre
0,1,52,0.0,COOP AHORRO  CRED. VIVIENDA ETC.CONTR SUPER  DE BANCOS,0,0,0,1,2810.0,231,Superior,Mujer
1,1,31,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,460.0,3,Secundaria,Mujer
0,0,46,1.7346791,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,5,Primaria,Hombre
0,1,49,7.397831,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,472.0,86,Secundaria,Mujer
1,1,48,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,465.0,1,Secundaria,Mujer
0,0,50,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,2641.0,73,Superior,Hombre
1,1,20,0.05264414,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,520.0,9,Superior,Mujer
0,1,74,0.0,ENTIDADES PUBLICAS CON AUTONOMIA,0,0,0,1,460.0,15,Superior,Mujer
1,1,47,-0.36967006,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,470.0,45,Primaria,Mujer
1,1,24,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,1,0,901.0,5,Secundaria,Mujer
0,0,31,7.6688867,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,800.0,70,Superior,Hombre
1,1,58,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,4,Secundaria,Mujer
1,0,21,1.5833268,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,466.0,5,Secundaria,Hombre
1,0,38,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,539.0,193,Secundaria,Hombre
0,1,43,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,500.0,18,Superior,Mujer
0,0,49,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,900.0,98,Superior,Hombre
1,1,61,0.0,ENTIDADES PÚBLICAS DE EDUCACIÓN SUPERIOR,0,0,0,1,1212.0,233,Superior,Mujer
1,0,42,0.0,MICRO EMPRESA (NO ARTESANAL),0,0,0,1,460.0,16,Superior,Hombre
0,1,55,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,1212.0,18,Superior,Mujer
0,1,36,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,1,0,824.0,145,Secundaria,Mujer
1,1,23,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,1,0,540.0,25,Secundaria,Mujer
1,0,37,0.0,MICRO EMPRESA (NO ARTESANAL),0,1,0,0,466.0,25,Primaria,Hombre
1,0,46,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,1382.0,21,Secundaria,Hombre
1,0,49,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,1,0,0,0,461.0,3,Sin Educación,Hombre
0,1,20,9.823624,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,471.0,14,Secundaria,Mujer
0,0,25,0.0,ORGANISMOS DEL REGIMEN SECCIONAL,0,0,1,0,475.0,13,Secundaria,Hombre
0,0,51,13.692221,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,539.0,242,Secundaria,Hombre
1,1,29,4.2119617,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,471.0,22,Secundaria,Mujer
1,0,43,3.0728462,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,536.0,27,Secundaria,Hombre
1,0,26,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,986.0,9,Superior,Hombre
0,0,35,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,817.0,123,Superior,Hombre
0,0,46,0.0,ENTIDADES PÚBLICAS DE EDUCACIÓN SUPERIOR,0,1,0,0,675.0,11,Primaria,Hombre
0,0,37,7.1631956,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,470.0,1,Secundaria,Hombre
1,1,31,2.2027445,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,1200.0,41,Secundaria,Mujer
1,0,37,2.9646046,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,471.0,0,Secundaria,Hombre
1,1,39,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,461.0,44,Primaria,Mujer
1,1,27,0.0,ENTIDADES PÚBLICAS DE EDUCACIÓN SUPERIOR,0,0,0,1,901.0,2,Superior,Mujer
0,1,45,0.0,MICRO EMPRESA (NO ARTESANAL),0,1,0,0,460.0,141,Primaria,Mujer
1,0,30,3.7191427,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,471.0,17,Primaria,Hombre
1,1,40,0.5522988,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,468.0,1,Primaria,Mujer
1,0,25,4.4208565,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,475.0,25,Secundaria,Hombre
0,0,28,11.299546,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,14,Primaria,Hombre
0,1,44,0.0,"INSTITUCION FINANCIERA PRIVADA, BANCOS Y CIA DE SEGUROS",0,0,1,0,723.0,210,Secundaria,Mujer
1,1,39,16.90619,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,460.0,1,Primaria,Mujer
